03/07-16:24:03.960521 ,1,2000418,16,"ET POLICY Executable and linking format (ELF) file download",TCP,197.218.177.69,20,172.16.113.204,43872,00:10:7B:38:46:3B,00:50:DA:B7:06:88,0x5EA,***A****,0x4CD60F14,0x18028922,20,0x7D78,63,8,34182,1500,225300,,,
03/07-16:32:22.417199 ,1,2019284,1,"ET ATTACK_RESPONSE Output of id command from HTTP server",TCP,172.16.113.168,23,197.182.91.233,4193,00:50:DA:B7:06:88,00:10:7B:38:46:3B,0x6B,***AP***,0x3F8F2991,0x3AE5A0D7,20,0x832C,64,0,29355,93,95232,,,
03/07-16:32:34.037754 ,1,2101251,11,"GPL TELNET Bad Login",TCP,172.16.113.50,23,195.115.218.108,4154,00:50:DA:B7:06:88,00:10:7B:38:46:3B,0x60,***AP***,0x6D575300,0xA0A6EB76,20,0x832C,64,0,29512,82,83968,,,
03/07-16:32:34.037754 ,1,2100492,11,"GPL TELNET TELNET login failed",TCP,172.16.113.50,23,195.115.218.108,4154,00:50:DA:B7:06:88,00:10:7B:38:46:3B,0x60,***AP***,0x6D575300,0xA0A6EB76,20,0x832C,64,0,29512,82,83968,,,
03/07-16:32:50.088128 ,1,2019284,1,"ET ATTACK_RESPONSE Output of id command from HTTP server",TCP,172.16.113.168,23,197.182.91.233,4193,00:50:DA:B7:06:88,00:10:7B:38:46:3B,0x72,***AP***,0x3F8F29F6,0x3AE5A0DE,20,0x832C,64,0,29999,100,102400,,,
03/07-16:44:51.054378 ,1,2101251,11,"GPL TELNET Bad Login",TCP,172.16.114.50,23,172.16.112.194,44437,00:00:C0:17:79:5A,00:10:7B:38:46:3B,0x49,***AP***,0x62C96045,0xB5130F3D,20,0x7C00,64,0,25943,59,60416,,,
03/07-16:44:51.057140 ,1,2101251,11,"GPL TELNET Bad Login",TCP,172.16.114.50,23,172.16.112.194,44437,00:10:7B:38:46:3B,00:50:DA:B7:06:88,0x49,***AP***,0x62C96045,0xB5130F3D,20,0x7C00,63,0,25943,59,60416,,,
03/07-17:07:07.223333 ,1,2100585,8,"GPL RPC portmap sadmind request UDP",UDP,202.77.162.213,645,172.16.115.1,111,00:10:7B:38:46:3B,00:50:DA:B7:06:88,0x62,,,,,,62,0,10658,84,86016,,,
03/07-17:07:12.227226 ,1,2100585,8,"GPL RPC portmap sadmind request UDP",UDP,202.77.162.213,645,172.16.115.1,111,00:10:7B:38:46:3B,00:50:DA:B7:06:88,0x62,,,,,,62,0,10660,84,86016,,,
03/07-17:07:17.237360 ,1,2100585,8,"GPL RPC portmap sadmind request UDP",UDP,202.77.162.213,645,172.16.115.1,111,00:10:7B:38:46:3B,00:50:DA:B7:06:88,0x62,,,,,,62,0,10661,84,86016,,,
03/07-17:07:22.247439 ,1,2100585,8,"GPL RPC portmap sadmind request UDP",UDP,202.77.162.213,645,172.16.115.1,111,00:10:7B:38:46:3B,00:50:DA:B7:06:88,0x62,,,,,,62,0,10662,84,86016,,,
03/07-17:07:27.257500 ,1,2100585,8,"GPL RPC portmap sadmind request UDP",UDP,202.77.162.213,645,172.16.115.1,111,00:10:7B:38:46:3B,00:50:DA:B7:06:88,0x62,,,,,,62,0,10663,84,86016,,,
03/07-17:07:32.267549 ,1,2100585,8,"GPL RPC portmap sadmind request UDP",UDP,202.77.162.213,645,172.16.115.1,111,00:10:7B:38:46:3B,00:50:DA:B7:06:88,0x62,,,,,,62,0,10664,84,86016,,,
03/07-17:07:37.277652 ,1,2100585,8,"GPL RPC portmap sadmind request UDP",UDP,202.77.162.213,645,172.16.115.1,111,00:10:7B:38:46:3B,00:50:DA:B7:06:88,0x62,,,,,,62,0,10665,84,86016,,,
03/07-17:07:42.287664 ,1,2100585,8,"GPL RPC portmap sadmind request UDP",UDP,202.77.162.213,645,172.16.115.1,111,00:10:7B:38:46:3B,00:50:DA:B7:06:88,0x62,,,,,,62,0,10666,84,86016,,,
