sid,rule_name,stage
5004013,NF - Outbound mail setup command EHLO,CODE_EXECUTION
5004014,NF - Outbound mail setup command HELO,CODE_EXECUTION
55013502,NF - FTP login - Username from Client Send,INFO_DISC
55013503,NF - FTP login - Password from Client Send,INFO_DISC
5018801,NF - Generic - Large number of NXDOMAIN replies,CREDENTIAL_ACCESS
5023364,NF - Unsupported IIS 4.0 used by remote web-server - Windows NT 4.0 option pack,CODE_EXECUTION
5023363,NF - Unsupported IIS 3.0 used by remote web-server - Windows NT 4.0 SP2,CODE_EXECUTION
5013403,NF - Telnet bad Login,CODE_EXECUTION
5024712,"NF - SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration",NETWORK_DISC
5023402,NF - Unsupported IIS 2.0 used by local web-server - Windows NT 4.0,CODE_EXECUTION
5023362,NF - Unsupported IIS 2.0 used by remote web-server - Windows NT 4.0,CODE_EXECUTION
5024802,NF - SSH connection established,CODE_EXECUTION
55013505,NF - FTP STOR Command,INFO_DISC
