04/16-20:46:21.339394 ,1,716,13,"INFO TELNET access",TCP,172.16.112.207,23,194.27.251.21,2072,00:50:DA:B7:06:88,00:10:7B:38:46:3B,0x45,***AP***,0xDA11FC3E,0x13054947,20,0x832C,64,0,17333,55,56320,,,
04/16-20:46:30.611213 ,1,402,7,"ICMP Destination Unreachable Port Unreachable",ICMP,192.168.1.10,,172.16.115.20,,00:10:7B:38:46:3B,00:50:DA:B7:06:88,0x68,,,,,,63,192,14717,90,92160,3,3,
04/16-20:47:15.561665 ,1,472,4,"ICMP redirect host",ICMP,172.16.114.1,,172.16.114.50,,00:10:7B:38:46:3B,00:00:C0:17:79:5A,0x46,,,,,,255,0,42361,56,57344,5,1,
04/16-20:47:15.566744 ,1,472,4,"ICMP redirect host",ICMP,172.16.114.1,,172.16.114.50,,00:10:7B:38:46:3B,00:00:C0:17:79:5A,0x46,,,,,,255,0,42362,56,57344,5,1,
04/16-20:47:15.593370 ,1,472,4,"ICMP redirect host",ICMP,172.16.114.1,,172.16.114.50,,00:10:7B:38:46:3B,00:00:C0:17:79:5A,0x46,,,,,,255,0,42363,56,57344,5,1,
04/16-20:47:15.596998 ,1,472,4,"ICMP redirect host",ICMP,172.16.114.1,,172.16.114.50,,00:10:7B:38:46:3B,00:00:C0:17:79:5A,0x46,,,,,,255,0,42364,56,57344,5,1,
04/16-20:47:15.600242 ,1,472,4,"ICMP redirect host",ICMP,172.16.114.1,,172.16.114.50,,00:10:7B:38:46:3B,00:00:C0:17:79:5A,0x46,,,,,,255,0,42365,56,57344,5,1,
04/16-20:47:15.602572 ,1,472,4,"ICMP redirect host",ICMP,172.16.114.1,,172.16.114.50,,00:10:7B:38:46:3B,00:00:C0:17:79:5A,0x46,,,,,,255,0,42366,56,57344,5,1,
04/16-20:47:15.604859 ,1,472,4,"ICMP redirect host",ICMP,172.16.114.1,,172.16.114.50,,00:10:7B:38:46:3B,00:00:C0:17:79:5A,0x46,,,,,,255,0,42367,56,57344,5,1,
04/16-20:47:15.607211 ,1,472,4,"ICMP redirect host",ICMP,172.16.114.1,,172.16.114.50,,00:10:7B:38:46:3B,00:00:C0:17:79:5A,0x46,,,,,,255,0,42368,56,57344,5,1,
