sid,rule_name,stage
472,ICMP redirect host,NON_MALICIOUS
2925,INFO web bug 0x0 gif attempt,CODE_EXECUTION
716,INFO TELNET access,DATA_EXFILTRATION
527,BAD-TRAFFIC same SRC/DST,CODE_EXECUTION
530,NETBIOS NT NULL session,CODE_EXECUTION
553,POLICY FTP anonymous login attempt,INFO_DISC
1213,WEB-MISC backup access,DATA_EXFILTRATION
1292,ATTACK-RESPONSES directory listing,DATA_EXFILTRATION
491,INFO FTP Bad login,PRIV_ESC
492,INFO TELNET login failed,PRIV_ESC
718,INFO TELNET login incorrect,PRIV_ESC
1251,INFO TELNET Bad Login,PRIV_ESC
1560,WEB-MISC /doc/ access,INFO_DISC
408,ICMP Echo Reply,CREDENTIAL_ACCESS
384,ICMP PING,NETWORK_DISC
1417,SNMP request udp,NETWORK_DISC
1411,SNMP public access udp,CREDENTIAL_ACCESS
839,WEB-CGI finger access,INFO_DISC
585,RPC portmap sadmind request UDP,NETWORK_DISC
1957,RPC sadmind UDP PING,NETWORK_DISC
2256,RPC sadmind query with root credentials attempt UDP,NETWORK_DISC
1911,RPC sadmind UDP NETMGT_PROC_SERVICE CLIENT_DOMAIN overflow attempt,DENIAL_OF_SERVICE
2050,MS-SQL version overflow attempt,INFO_DISC
402,ICMP Destination Unreachable Port Unreachable,NETWORK_DISC
528,BAD-TRAFFIC loopback traffic,DENIAL_OF_SERVICE
366,ICMP PING *NIX,NETWORK_DISC
368,ICMP PING BSDtype,NETWORK_DISC
