sid,rule_name,stage
2003068,ET SCAN Potential SSH Scan OUTBOUND,NETWORK_DISC
2001219,ET SCAN Potential SSH Scan,NETWORK_DISC
2100538,GPL NETBIOS SMB IPC$ unicode share access,DATA_EXFILTRATION
2027863,ET INFO Observed DNS Query to .biz TLD,COMMAND_AND_CONTROL
2014906,ET INFO .exe File requested over FTP,DATA_DELIVERY
2031747,ET INFO Observed Interesting Content-Type Inbound (application/x-sh),COMMAND_AND_CONTROL
2002192,ET CHAT MSN status change,NON_MALICIOUS
2027389,ET USER_AGENTS Microsoft Dr Watson User-Agent (MSDW),COMMAND_AND_CONTROL
2018170,ET POLICY Application Crash Report Sent to Microsoft,NON_MALICIOUS
2030384,ET POLICY Suspicious Terse Request for .bmp,DATA_DELIVERY
2006546,ET SCAN LibSSH Based Frequent SSH Connections Likely BruteForce Attack,CREDENTIAL_ACCESS
2020505,ET TROJAN Win32.Sality.3 Checkin,COMMAND_AND_CONTROL
2018430,ET WEB_CLIENT SUSPICIOUS Possible automated connectivity check (www.google.com),CODE_EXECUTION
2014819,ET INFO Packed Executable Download,DATA_DELIVERY
2021129,ET TROJAN Blue Bot DDoS Blog Request,COMMAND_AND_CONTROL
2016538,ET INFO Executable Retrieved With Minimal HTTP Headers - Potential Second Stage Download,DATA_DELIVERY
2018959,ET POLICY PE EXE or DLL Windows file download HTTP,DATA_DELIVERY
2014520,ET INFO EXE - Served Attached HTTP,DATA_DELIVERY
2024398,ET CURRENT_EVENTS Possible Yahoo Phishing Landing - Title over non SSL,DATA_DELIVERY
2102546,GPL FTP MDTM overflow attempt,INFO_DISC
2101919,GPL FTP CWD overflow attempt,INFO_DISC
2100349,GPL FTP MKD overflow,INFO_DISC
2101973,GPL FTP MKD overflow attempt,INFO_DISC
2027758,ET DNS Query for .cc TLD,COMMAND_AND_CONTROL
2015686,ET POLICY Signed TLS Certificate with md5WithRSAEncryption,DATA_EXFILTRATION
2019416,ET POLICY SSLv3 outbound connection from client vulnerable to POODLE attack,NON_MALICIOUS
2012692,ET POLICY Microsoft user-agent automated process response to automated request,COMMAND_AND_CONTROL
2018431,ET WEB_CLIENT SUSPICIOUS Possible automated connectivity check (www.msn.com),CODE_EXECUTION
2014545,ET CURRENT_EVENTS TDS Sutra - page redirecting to a SutraTDS,CODE_EXECUTION
2024645,ET WEB_CLIENT Fake Adobe Flash Update Landing - Title over non SSL,CODE_EXECUTION
2012059,ET WEB_CLIENT Hex Obfuscation of document.write % Encoding,CODE_EXECUTION
2029754,ET INFO Suspicious GET Request with Possible COVID-19 URI M2,DATA_DELIVERY
2013504,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,NON_MALICIOUS
