sid,rule_name,stage
5024802,NF - SSH connection established,CODE_EXECUTION
5023368,NF - Unsupported IIS 7.0 used by remote web-server - Windows Server 2008,CODE_EXECUTION
5002024,NF - POLICY - Covert iodine tunnel request,INFO_DISC
5023367,NF - Unsupported IIS 6.0 used by remote web-server - Windows 2003,CODE_EXECUTION
5024708,NF - SCAN Potential SSH Scan,NETWORK_DISC
5023365,NF - Unsupported IIS 5.0 used by remote web-server - Windows 2000,CODE_EXECUTION
55013502,NF - FTP login - Username from Client Send,INFO_DISC
55013503,NF - FTP login - Password from Client Send,INFO_DISC
5023369,NF - Unsupported IIS 7.5 used by remote web-server - Windows 7,CODE_EXECUTION
5022505,NF - POLICY ask.com,CODE_EXECUTION
55013505,NF - FTP STOR Command,INFO_DISC
5019601,NF - POLICY - LLMNR - Link-local Multicast name resolution in use - Unsafe to use,CODE_EXECUTION
5017141,INDICATOR-COMPROMISE outbound suspicious short User-Agent,COMMAND_AND_CONTROL
5022203,NF - Web search engine - Googlebot,CODE_EXECUTION
55013501,NF - FTP login attempt - response from server,INFO_DISC
5018804,NF - Generic - DNS Response 127.0.0.1 - Possible sinkholed domain - Check domain,INFO_DISC
5026006,NF - Host name with IP address sending exe file,INFO_DISC
5026004,NF - Request for JPG file but sending binary file,DATA_DELIVERY
5026002,NF - Request for PNG file but sending binary file,DATA_DELIVERY
5017162,MALWARE-CNC Win.Trojan.Gh0st_PlugX user-profile in outbound ephemeral port,COMMAND_AND_CONTROL
5010301,NF - Possible Website defacement - Hacked by - Generic rule - Inbound,CODE_EXECUTION
5017804,NF - TLD domain - .cc DNS query,INFO_DISC
5024601,NF - Signed TLS Certificate with md5 With RSA Encryption,PRIV_ESC
5017803,NF - TLD domain - .cn DNS query,INFO_DISC
5012054,NF - SSLv3 outbound connection from client vulnerable to POODLE attack,NON_MALICIOUS
5017869,"NF - HTTPS connection to possible bad web-site - Certificate with TDL - london, fit, work, gdn, fail, casa, rest, Top, cryo, club, xyz, viajes, ore click domain detected",CODE_EXECUTION
5017840,NF - Bad TLD domain - tk DNS query - Check domains,INFO_DISC
5010102,NF - Facebook Like Button Clicked - 2,CODE_EXECUTION
5004013,NF - Outbound mail setup command EHLO,CODE_EXECUTION
5017802,NF - TLD domain - .ru DNS query,INFO_DISC
5023366,NF - Unsupported IIS 5.1 used by remote web-server - Windows XP,CODE_EXECUTION
55019001,NF - IOC - Website mirrored with HTTrack - Tool used by some phishing campaigns,INFO_DISC
5017403,NF - POLICY - Windows XP making Internet connection - IE 6 - Company Policy Violation,CODE_EXECUTION
5024703,NF - SCAN Potential VNC Scan 5800-5820,NETWORK_DISC
5016112,NF - Echo Reply Payload - Bigger than 100 bytes,CODE_EXECUTION
5016111,NF - Echo Request Payload - Bigger than 100 bytes,CODE_EXECUTION
5024705,NF - SCAN NMAP OS Detection Probe,NETWORK_DISC
5024706,NF - SCAN nmap fingerprint attempt,VULN_DISC
5024707,NF - SCAN nmap XMAS,VULN_DISC
5013401,NF - VNC server response,NON_MALICIOUS
5023407,NF - Unsupported IIS 6.0 used by local web-server - Windows 2003,CODE_EXECUTION
55019002,NF - IOC - Website mirrored with HTTrack - Metadata tag not removed - <!-- Added by HTTrack -->,CODE_EXECUTION
5022502,NF - POLICY - Ask toolbar in use - Properties,INFO_DISC
5003011,NF - IOC - Possible W32/Simda.AT GET update from C&C Server,INFO_DISC
5017801,NF - TLD domain - .su DNS quer,INFO_DISC
5017813,NF - Bad TLD domain - travel DNS query - Check domains,INFO_DISC
5016105,NF - Don't Fragment bit set - check for covert channel,CREDENTIAL_ACCESS
