sid,rule_name,stage
2925,INFO web bug 0x0 gif attempt,CODE_EXECUTION
538,NETBIOS SMB IPC$ unicode share access,DATA_EXFILTRATION
2570,WEB-MISC Invalid HTTP Version String,CODE_EXECUTION
1852,WEB-MISC robots.txt access,DATA_EXFILTRATION
401,ICMP Destination Unreachable Network Unreachable,CREDENTIAL_ACCESS
1748,FTP command overflow attempt,INFO_DISC
2546,FTP MDTM overflow attempt,INFO_DISC
1919,FTP CWD overflow attempt,INFO_DISC
1973,FTP MKD overflow attempt,INFO_DISC
1841,WEB-CLIENT Javascript URL host spoofing attempt,CODE_EXECUTION
1735,WEB-CLIENT XMLHttpRequest attempt,CODE_EXECUTION
100000228,COMMUNITY WEB-CLIENT Winamp PlayList buffer overflow attempt,CODE_EXECUTION
486,ICMP Destination Unreachable Communication with Destination Host is Administratively Prohibited,COMMAND_AND_CONTROL
402,ICMP Destination Unreachable Port Unreachable,NETWORK_DISC
399,ICMP Destination Unreachable Host Unreachable,CREDENTIAL_ACCESS
527,BAD-TRAFFIC same SRC/DST,CODE_EXECUTION
1917,SCAN UPnP service discover attempt,NETWORK_DISC
2329,MS-SQL probe response overflow attempt,INFO_DISC
3192,WEB-CLIENT Windows Media Player directory traversal via Content-Disposition attempt,CODE_EXECUTION
1437,MULTIMEDIA Windows Media download,CODE_EXECUTION
449,ICMP Time-To-Live Exceeded in Transit,NON_MALICIOUS
1421,SNMP AgentX/tcp request,NON_MALICIOUS
1418,SNMP request tcp,NON_MALICIOUS
365,ICMP PING undefined code,NETWORK_DISC
408,ICMP Echo Reply,CREDENTIAL_ACCESS
384,ICMP PING,NETWORK_DISC
1228,SCAN nmap XMAS,NETWORK_DISC
469,ICMP PING NMAP,NETWORK_DISC
453,ICMP Timestamp Request,NON_MALICIOUS
2465,NETBIOS SMB-DS IPC$ share access,DATA_EXFILTRATION
560,POLICY VNC server response,NON_MALICIOUS
1061,WEB-MISC xp_cmdshell attempt,CODE_EXECUTION
2417,FTP format string attempt,INFO_DISC
1378,FTP wu-ftp bad file completion attempt {,CODE_EXECUTION
553,POLICY FTP anonymous login attempt,INFO_DISC
1972,FTP PASS overflow attempt,INFO_DISC
491,INFO FTP Bad login,PRIV_ESC
1377,FTP wu-ftp bad file completion attempt [,CODE_EXECUTION
1734,FTP USER overflow attempt,INFO_DISC
2178,FTP USER format string attempt,INFO_DISC
2416,FTP invalid MDTM command attempt,INFO_DISC
2338,FTP LIST buffer overflow attempt,INFO_DISC
100000122,COMMUNITY WEB-MISC mod_jrun overflow attempt,CODE_EXECUTION
1260,WEB-MISC long basic authorization string,CODE_EXECUTION
1201,ATTACK-RESPONSES 403 Forbidden,CODE_EXECUTION
2663,WEB-CGI WhatsUpGold instancename overflow attempt,CODE_EXECUTION
2246,WEB-MISC webadmin.dll access,INFO_DISC
100000427,COMMUNITY WEB-MISC JBoss jmx-console html adaptor access,INFO_DISC
1248,WEB-FRONTPAGE rad fp30reg.dll access,DATA_EXFILTRATION
1288,WEB-FRONTPAGE /_vti_bin/ access,DATA_EXFILTRATION
1772,WEB-IIS pbserver access,DATA_EXFILTRATION
1807,WEB-MISC Chunked-Encoding transfer attempt,CODE_EXECUTION
3072,IMAP status overflow attempt,INFO_DISC
1842,IMAP login buffer overflow attempt,INFO_DISC
971,WEB-IIS ISAPI .printer access,DATA_EXFILTRATION
1244,WEB-IIS ISAPI .idq attempt,CODE_EXECUTION
1245,WEB-IIS ISAPI .idq access,DATA_EXFILTRATION
2129,WEB-IIS nsiislog.dll access,DATA_EXFILTRATION
1070,WEB-MISC WebDAV search access,PRIV_ESC
3070,IMAP fetch overflow attempt,INFO_DISC
1365,WEB-ATTACKS rm command attempt,CODE_EXECUTION
1161,WEB-PHP piranha passwd.php3 access,CODE_EXECUTION
987,WEB-IIS .htr access,DATA_EXFILTRATION
2077,WEB-PHP Mambo upload.php access,INFO_DISC
2281,WEB-PHP Setup.php access,CODE_EXECUTION
1356,WEB-ATTACKS perl execution attempt,CODE_EXECUTION
3463,WEB-CGI awstats access,CODE_EXECUTION
1140,WEB-MISC guestbook.pl access,CODE_EXECUTION
2152,WEB-PHP test.php access,INFO_DISC
100000121,COMMUNITY WEB-MISC Test Script Access,CODE_EXECUTION
1113,WEB-MISC http directory traversal,CODE_EXECUTION
2229,WEB-PHP viewtopic.php access,CODE_EXECUTION
1334,WEB-ATTACKS echo command attempt,CODE_EXECUTION
100000888,COMMUNITY WEB-PHP tikiwiki exploit attempt,CODE_EXECUTION
1866,POP3 USER overflow attempt,CODE_EXECUTION
2085,WEB-CGI parse_xml.cgi access,CODE_EXECUTION
3079,WEB-CLIENT Microsoft ANI file parsing overflow,CODE_EXECUTION
485,ICMP Destination Unreachable Communication Administratively Prohibited,CREDENTIAL_ACCESS
2180,P2P BitTorrent announce request,DATA_DELIVERY
477,ICMP Source Quench,CREDENTIAL_ACCESS
2181,P2P BitTorrent transfer,DATA_DELIVERY
396,ICMP Destination Unreachable Fragmentation Needed and DF bit was set,COMMAND_AND_CONTROL
542,CHAT IRC nick change,NON_MALICIOUS
1463,CHAT IRC message,NON_MALICIOUS
1440,MULTIMEDIA Icecast playlist redirection,CODE_EXECUTION
